1647434080.6906621,55,85,60
1647434084.7749755,54,83,60
1647434227.8770647,25,82,58
1647434232.444261,51,83,57
1647434236.4633193,53,81,58
1647434240.5758088,50,82,57
1647434244.617003,3,83,58
1647435553.875325,28,81,60
1647435558.4195786,50,81,58
1647435562.4997048,52,84,58
1647435566.6557522,17,84,62
1647435571.080111,6,82,60
1647435575.6720095,10,81,59
1647435579.975505,48,84,59
1647435584.3653576,4,80,62
1647435588.60502,3,79,56
1647435592.8517938,18,81,60
1647435596.876847,48,82,60
1647435601.1090376,25,82,62
1647435605.1133604,2,83,61
1647435609.4008384,49,81,60
1647435613.6554432,50,83,61
1647435617.6356695,52,80,58
1647435621.6743064,50,81,61
1647435625.9203444,50,81,59
1647435630.2187352,52,83,59
1647435634.5378764,16,81,58
1647435638.8383737,2,80,59
1647435643.1697989,8,83,56
1647435647.5520744,26,80,63
1647435651.729661,48,82,59
1647435655.7682297,16,83,60
1647435659.8515701,47,81,60
1647435664.0397923,8,83,55
1647435669.1042557,13,81,58
1647435673.5002387,7,83,61
1647435677.8395188,18,83,61
1647435682.1694372,50,82,59
1647435686.5357628,53,85,59
1647435690.9141138,52,80,59
1647435695.5128412,8,82,61
1647435699.8459747,28,80,58
1647435704.142486,25,84,62
1647435708.1368058,4,81,61
1647435712.4612467,9,81,60
1647435716.849487,50,82,59
1647435721.248966,53,82,61
1647435725.511381,10,82,57
1647435729.8184264,52,82,55
1647435734.1718166,3,81,60
1647435738.6997344,51,82,60
1647435743.2546043,53,80,60
1647435747.8468964,56,83,61
1647435751.9439442,12,82,57
1647435756.2085254,13,82,57
1647435760.2696667,52,82,59
1647435764.2968516,52,82,32
1647435768.7887094,10,80,59
1647435773.0136735,7,83,59
1647435777.3840256,9,82,60
1647435782.0635645,52,81,59
1647435786.7307584,13,83,57
1647435791.0212848,10,84,60
1647435795.375,54,81,59
1647435799.8345284,53,83,59
1647435804.3135552,55,82,59
1647435809.0395591,57,83,61
1647435813.6592202,53,83,31
1647435818.334095,53,82,57
1647435822.997844,52,82,57
1647435827.420384,11,82,57
1647435832.2010903,53,83,58
1647435836.2891595,9,82,57
1647435840.261536,52,82,60
1647435844.2462232,53,83,59
1647435848.3163393,55,83,60
1647435852.6049788,51,83,56
1647435856.881529,55,82,58
1647435860.9574583,52,82,59
1647435865.2938628,51,79,33
1647435869.7657087,56,82,58
1647435874.4859858,10,82,58
1647435879.0667894,52,83,59
1647435883.576197,54,82,25
1647435888.362927,57,82,58
1647435892.40412,55,83,30
1647435896.3794906,55,80,59
1647435900.4415522,13,82,58
1647435904.8742151,55,82,61
1647435909.1897645,53,82,59
1647435913.7091887,55,83,56
1647435918.4026375,53,81,59
1647435922.556528,54,79,60
1647435926.6176696,55,81,29
1647435931.616059,55,85,58
1647435936.1692407,52,82,59
1647435941.0341547,56,82,57
1647435945.1591268,54,83,59
1647435949.4407012,55,79,58
1647435954.0003724,56,83,61
1647435958.3467443,54,84,62
1647435962.8661022,56,82,61
1647435967.0060303,55,82,60
1647435971.2143302,55,82,58
1647435975.1954486,53,82,61
1647435979.2017379,53,83,60
1647435983.2790947,54,83,59
1647435987.4119415,55,84,59
1647435992.026439,54,83,58
1647435996.5048573,52,81,60
1647436000.954962,54,83,58
1647436005.3218393,56,83,59
1647436010.1175222,56,81,59
1647436015.0114362,54,81,59
1647436047.087723,53,82,59
1647436051.4006913,53,80,62
1647436055.61507,53,82,61
1647436059.4283009,56,83,63
1647436063.4494998,55,81,57
1647436150.096128,55,85,59
1647436154.070502,55,85,60
1647436158.058268,51,83,61
1647436161.9977353,51,80,61
1647436166.0972748,29,80,60
1647436170.6481903,53,82,60
1647436175.029787,16,82,58
1647436179.6009405,52,84,59
1647436184.2022705,56,84,60
1647436188.8918917,54,81,60
1647436193.958334,51,82,56
1647436198.757541,52,82,59
1647436202.9502895,56,83,32
1647436207.1121624,54,80,62
1647436211.423668,8,82,60
1647436215.4359076,54,82,60
1647436219.8850174,51,82,60
1647436224.3381047,53,83,58
1647436229.5531626,53,83,60
1647436234.3772633,52,81,61
1647436239.6132615,55,80,57
1647436245.0449932,53,80,58
1647436250.112352,55,82,60
1647436254.8175273,54,83,58
1647436259.0613434,56,84,60
1647436263.4787934,55,82,57
1647436268.4686809,56,82,60
1647436273.2529294,54,79,59
1647436277.6454394,54,82,59
1647436282.5766108,55,82,60
1647436287.1683328,53,81,61
1647436292.156178,52,79,61
1647436297.0380871,52,81,59
1647436301.241723,56,80,59
1647436305.5263774,54,80,59
1647436339.482993,56,83,59
1647436343.6099546,55,81,61
1647436347.6685894,54,84,61
1647436351.582125,54,83,59
1647436355.721851,55,83,58
1647436359.763901,54,83,58
1647436363.9130962,54,81,59
1647436368.009146,55,81,59
1647436372.2086942,54,83,56
1647436376.3137195,54,81,61
1647436380.481472,55,82,59
1647436384.5874894,54,81,60
1647436388.6672347,54,83,59
1647436392.6986864,55,82,59
1647436396.7727933,55,83,62
1647436400.788005,55,80,61
1647436404.9467983,57,80,61
1647436408.9939017,53,83,58
1647436413.0339768,54,80,58
1647436417.095085,55,84,58
1647436421.1822984,55,82,59
1647436425.1799173,53,84,61
1647436429.2207181,55,80,59
1647436433.3227487,53,83,60
1647436437.3808982,53,81,60
1647436441.3962026,57,79,58
1647436445.4284203,18,84,58
1647436449.4656253,55,83,59
1647436453.4992085,55,81,58
1647436457.5670846,55,81,62
1647436461.627718,55,84,58
1647436465.723797,54,79,60
